n,m,k,q,execution_time_seconds,parameter_varied
10,100,50,1,.642254517,n=10
20,100,50,1,.197944313,n=20
30,100,50,1,.797294686,n=30
40,100,50,1,.211894637,n=40
50,100,50,1,.786576480,n=50
60,100,50,1,.210177560,n=60
70,100,50,1,.785506037,n=70
80,100,50,1,.205686721,n=80
90,100,50,1,.794966580,n=90
100,100,50,1,1.325212474,n=100
110,100,50,1,1.275040236,n=110
120,100,50,1,1.278378628,n=120
130,100,50,1,1.339977858,n=130
140,100,50,1,1.320930236,n=140
150,100,50,1,1.334209522,n=150
160,100,50,1,1.269492946,n=160
170,100,50,1,1.332268587,n=170
180,100,50,1,1.290901872,n=180
190,100,50,1,1.318201433,n=190
200,100,50,1,1.323112898,n=200
210,100,50,1,1.309449994,n=210
220,100,50,1,1.304797691,n=220
230,100,50,1,1.323020517,n=230
240,100,50,1,1.336645256,n=240
250,100,50,1,1.282300489,n=250
260,100,50,1,1.421886895,n=260
270,100,50,1,1.421273452,n=270
280,100,50,1,1.440263084,n=280
290,100,50,1,1.362061241,n=290
300,100,50,1,1.412029505,n=300
310,100,50,1,1.411813807,n=310
320,100,50,1,1.441281702,n=320
330,100,50,1,1.372040519,n=330
340,100,50,1,1.349307542,n=340
350,100,50,1,1.424425641,n=350
360,100,50,1,1.373755630,n=360
370,100,50,1,1.399288837,n=370
380,100,50,1,1.374143592,n=380
390,100,50,1,1.414539978,n=390
400,100,50,1,1.388523791,n=400
410,100,50,1,1.415752578,n=410
420,100,50,1,1.414978879,n=420
430,100,50,1,1.398604976,n=430
440,100,50,1,1.449650478,n=440
450,100,50,1,1.397247473,n=450
460,100,50,1,1.410199442,n=460
470,100,50,1,1.402185282,n=470
480,100,50,1,1.414290222,n=480
490,100,50,1,1.424854618,n=490
500,100,50,1,1.403822260,n=500
100,10,50,1,1.310242435,m=10
100,20,50,1,1.263382517,m=20
100,30,50,1,1.257129337,m=30
100,40,50,1,1.259801198,m=40
100,50,50,1,1.294103263,m=50
100,60,50,1,1.239119081,m=60
100,70,50,1,1.279352055,m=70
100,80,50,1,1.303678258,m=80
100,90,50,1,1.282855998,m=90
100,100,50,1,1.326024602,m=100
100,110,50,1,1.272337292,m=110
100,120,50,1,1.270425058,m=120
100,130,50,1,1.261059203,m=130
100,140,50,1,1.217258341,m=140
100,150,50,1,1.242703158,m=150
100,160,50,1,1.275468844,m=160
100,170,50,1,1.199741905,m=170
100,180,50,1,1.305251427,m=180
100,190,50,1,1.279468754,m=190
100,200,50,1,1.300589946,m=200
100,210,50,1,1.332353140,m=210
100,220,50,1,1.267420563,m=220
100,230,50,1,1.308050037,m=230
100,240,50,1,1.278653037,m=240
100,250,50,1,1.244198080,m=250
100,260,50,1,1.314788112,m=260
100,270,50,1,1.243617460,m=270
100,280,50,1,1.260298514,m=280
100,290,50,1,1.278978632,m=290
100,300,50,1,1.287137805,m=300
100,310,50,1,1.253694036,m=310
100,320,50,1,1.237415039,m=320
100,330,50,1,1.266673439,m=330
100,340,50,1,1.337200197,m=340
100,350,50,1,1.265461324,m=350
100,360,50,1,1.260399429,m=360
100,370,50,1,1.276141089,m=370
100,380,50,1,1.233955526,m=380
100,390,50,1,1.324957992,m=390
100,400,50,1,1.235407179,m=400
100,410,50,1,1.275598188,m=410
100,420,50,1,1.269333793,m=420
100,430,50,1,1.275377542,m=430
100,440,50,1,1.264795499,m=440
100,450,50,1,1.285696395,m=450
100,460,50,1,1.308924579,m=460
100,470,50,1,1.289677924,m=470
100,480,50,1,1.257257420,m=480
100,490,50,1,1.250707945,m=490
100,500,50,1,1.313552009,m=500
100,100,10,1,1.247172513,k=10
100,100,20,1,1.256886574,k=20
100,100,30,1,1.203690628,k=30
100,100,40,1,1.250051933,k=40
100,100,50,1,1.247116826,k=50
100,100,60,1,1.294072589,k=60
100,100,70,1,1.283989388,k=70
100,100,80,1,1.313489559,k=80
100,100,90,1,1.263231012,k=90
100,100,100,1,1.226589427,k=100
100,100,110,1,1.335329542,k=110
100,100,120,1,1.297436644,k=120
100,100,130,1,1.335428865,k=130
100,100,140,1,1.332744775,k=140
100,100,150,1,1.356381646,k=150
100,100,160,1,1.324572470,k=160
100,100,170,1,1.343291816,k=170
100,100,180,1,1.343142661,k=180
100,100,190,1,1.442360094,k=190
100,100,200,1,1.380920251,k=200
100,100,210,1,1.379784819,k=210
100,100,220,1,1.467038149,k=220
100,100,230,1,1.470012845,k=230
100,100,240,1,1.413170955,k=240
100,100,250,1,1.441286350,k=250
100,100,260,1,1.451302932,k=260
100,100,270,1,1.452720738,k=270
100,100,280,1,1.449421752,k=280
100,100,290,1,1.488659024,k=290
100,100,300,1,1.477133616,k=300
100,100,310,1,1.516121752,k=310
100,100,320,1,1.533845987,k=320
100,100,330,1,1.572344489,k=330
100,100,340,1,1.516705426,k=340
100,100,350,1,1.603423965,k=350
100,100,360,1,1.569874170,k=360
100,100,370,1,1.608260040,k=370
100,100,380,1,1.645308016,k=380
100,100,390,1,1.654896146,k=390
100,100,400,1,1.576424795,k=400
100,100,410,1,1.670704648,k=410
100,100,420,1,1.625341990,k=420
100,100,430,1,1.603659414,k=430
100,100,440,1,1.695549592,k=440
100,100,450,1,1.692688030,k=450
100,100,460,1,1.779345832,k=460
100,100,470,1,1.595948500,k=470
100,100,480,1,1.668391484,k=480
100,100,490,1,1.727913796,k=490
100,100,500,1,1.693244259,k=500
